from,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO,Total
PR,285.579.498,679.538.747,-3.400.627.254,222.689.954,2.872.105.382,1.554.084.800,2.507.941.958,-717.089.244,3.096.292.946,1.810.714.624,5.650.586.167,-6.635.588.723,3.663.671.780,2.482.150.529,1.062.009.808,1.115.852.636,889.138.673,,-3.518.638.960,684.249.277,-51.755.026,188.329.482,640.749.592,6.743.284.284,632.378.455,-13.105.996.030,483.766.114,9.835.419.469
RJ,87.569.418,452.364.315,-7.633.099.326,-556.978.460,433.085.773,972.696.076,-2.291.880.834,-10.466.413.113,-2.213.049.417,1.393.036.202,-14.830.871.590,-892.320.839,-430.271.623,314.230.869,956.749.555,-847.875.057,760.324.382,3.518.638.959,,-146.255.493,-1.610.707.343,86.131.560,2.477.764.971,-6.560.657.158,654.291.043,-21.924.425.303,-480.077.761,-58.778.000.194
RN,3.556.393,-110.277.072,14.961.855,14.594.938,-339.416.823,-557.070.358,-56.118.593,-646.324.955,-610.636.282,-161.364.085,-1.303.057.198,-92.888.084,-110.764.130,-322.671.174,-1.298.776.601,-5.224.363.047,173.085.019,-684.249.277,146.255.492,,-76.309.029,8.383.554,-777.968.932,-5.853.965.030,-29.260.011,-2.328.930.227,-181.807.561,-20.405.381.218
RO,1.572.147.939,52.525.221,-5.843.410.634,41.594.471,-101.306.064,1.045.107.087,109.792.078,666.885.639,-483.831.202,178.275.125,807.783.212,-187.540.322,-605.384.120,-637.366.633,41.133.544,33.044.118,64.585.333,51.755.026,1.610.707.343,76.309.029,,94.635.622,-718.651.478,736.824.574,28.943.622,366.282.056,24.445.148,-974.714.265
RR,-3.328.428,-17.147.952,-2.054.794.135,-11.939.330,-110.104.821,-149.807.771,-54.765.614,-12.445.980,-224.929.711,-13.131.318,-224.485.692,-36.657.705,-60.095.614,-228.105.049,-29.025.743,-242.617.464,-2.044.517,-188.329.482,-86.131.560,-8.383.554,-94.635.622,,-254.874.167,-218.242.283,-24.488.326,-880.930.323,-4.915.464,-5.236.357.626
RS,263.103.366,599.029.137,-2.234.726.444,229.531.324,1.951.974.083,2.029.861.538,1.864.688.455,405.708.641,2.611.103.418,1.389.908.260,3.442.702.598,-770.119.969,4.699.708.239,2.573.846.082,1.007.476.201,812.397.791,864.069.410,-640.749.592,-2.477.764.971,777.968.932,718.651.477,254.874.167,,-73.277.715,738.108.420,-19.960.240.998,942.741.420,2.020.573.271
SC,93.676.028,377.563.501,-2.906.733.474,343.396.856,2.978.306.426,2.497.487.184,1.990.401.044,-1.641.151.060,3.590.874.358,1.111.170.213,6.717.974.255,-2.881.444.176,66.715.838,1.931.381.245,1.289.144.494,3.958.756.059,948.786.223,-6.743.284.285,6.560.657.159,5.853.965.030,-736.824.574,218.242.283,73.277.714,,617.209.582,36.595.787.416,209.373.894,63.114.709.235
SE,7.069.161,-233.394.796,-248.951.781,33.497.856,-2.702.986.740,119.592.670,-34.656.288,-626.489.555,-144.021.052,207.631.909,-951.980.355,-104.262.516,-23.165.539,125.953.407,-174.358.261,-2.078.457.023,142.152.508,-632.378.455,-654.291.043,29.260.011,-28.943.622,24.488.326,-738.108.420,-617.209.582,,-3.471.728.529,56.073.808,-12.719.663.900
SP,1.185.466.515,1.518.776.651,-21.518.222.790,676.091.804,16.042.966.405,13.036.681.646,28.230.135.801,7.245.824.069,17.316.982.759,10.472.384.471,52.449.431.295,-5.261.345.332,16.226.623.229,9.345.777.932,6.820.143.888,17.126.987.622,4.466.730.973,13.105.996.030,21.924.425.303,2.328.930.228,-366.282.057,880.930.323,19.960.240.998,-36.595.787.417,3.471.728.530,,2.141.517.694,202.233.136.568
TO,3.397.660,-1.711.082,-252.515.332,32.601.963,-251.112.061,452.328.641,-518.174.422,-155.078.737,-3.753.224.220,-3.726.982.615,-513.533.911,-19.136.243,402.414.967,512.770.276,183.021.285,326.401.232,165.989.453,-483.766.114,480.077.761,181.807.561,-24.445.148,4.915.464,-942.741.420,-209.373.894,-56.073.808,-2.141.517.694,,-10.303.660.440
